datetime,open,high,low,close,volume
2023-12-14 14:06:%00,16523.50,16530.25,16523.50,16525.50,63
2023-12-14 14:07:%00,16526.00,16526.00,16519.75,16521.00,47
2023-12-14 14:08:%00,16522.00,16530.00,16522.00,16526.25,34
2023-12-14 14:09:%00,16527.50,16527.50,16522.75,16522.75,28
2023-12-14 14:10:%00,16522.25,16523.00,16520.25,16521.00,33
2023-12-14 14:11:%00,16521.00,16525.25,16519.50,16525.00,23
2023-12-14 14:12:%00,16526.00,16531.50,16522.75,16524.50,71
2023-12-14 14:13:%00,16524.50,16525.50,16519.50,16519.50,31
2023-12-14 14:14:%00,16519.75,16526.00,16519.75,16521.50,24
2023-12-14 14:15:%00,16520.00,16525.50,16517.25,16524.25,74
2023-12-14 14:16:%00,16525.00,16525.00,16520.00,16523.25,32
2023-12-14 14:17:%00,16523.25,16527.25,16521.25,16526.75,61
2023-12-14 14:18:%00,16527.75,16529.00,16522.00,16526.75,35
2023-12-14 14:19:%00,16527.25,16533.75,16527.25,16532.50,63
2023-12-14 14:20:%00,16532.75,16533.00,16526.00,16526.25,31
2023-12-14 14:21:%00,16526.50,16531.75,16524.25,16530.50,42
2023-12-14 14:22:%00,16530.25,16531.75,16528.50,16529.75,33
2023-12-14 14:23:%00,16531.00,16531.00,16526.25,16527.75,28
2023-12-14 14:24:%00,16528.25,16535.50,16528.25,16535.00,34
2023-12-14 14:25:%00,16534.75,16536.00,16531.50,16532.50,46
2023-12-14 14:26:%00,16532.25,16533.50,16529.00,16530.25,36
2023-12-14 14:27:%00,16529.75,16532.00,16527.00,16530.50,33
2023-12-14 14:28:%00,16529.75,16531.75,16529.25,16531.50,17
2023-12-14 14:29:%00,16531.00,16532.50,16519.50,16521.75,88
2023-12-14 14:30:%00,16522.00,16528.75,16521.75,16525.00,101
2023-12-14 14:31:%00,16524.75,16528.00,16523.50,16525.50,48
2023-12-14 14:32:%00,16526.00,16531.50,16523.50,16524.25,45
2023-12-14 14:33:%00,16523.50,16525.25,16521.00,16524.75,49
2023-12-14 14:34:%00,16525.00,16526.50,16523.50,16524.75,23
2023-12-14 14:35:%00,16525.00,16533.50,16522.50,16530.50,84
2023-12-14 14:36:%00,16530.25,16536.25,16530.25,16534.75,65
2023-12-14 14:37:%00,16533.75,16533.75,16527.50,16530.00,46
2023-12-14 14:38:%00,16530.00,16532.25,16525.50,16525.75,26
2023-12-14 14:39:%00,16526.50,16526.50,16520.25,16521.25,64
2023-12-14 14:40:%00,16521.25,16523.75,16518.75,16520.00,70
2023-12-14 14:41:%00,16521.25,16528.00,16520.50,16525.50,65
2023-12-14 14:42:%00,16526.00,16527.25,16522.50,16525.00,44
2023-12-14 14:43:%00,16524.75,16531.75,16522.50,16531.25,76
2023-12-14 14:44:%00,16530.50,16533.00,16523.75,16523.75,48
